ID	congr	freq	TFrq	FlFrq	RT	amplFfull_norm	amplTfull_norm	amplFpost_norm	amplTpost_norm	amplFpre_norm	amplTpre_norm	alpha_abs	alpha	cond	theta_norm
4	0	0	7	10	550.781	-0.415406	-1.75109	0.562804	-1.54076	-0.519285	-0.160411	0.5	10.5	3	-0.951369
4	0	0	7	10	492.188	0.967752	-0.645386	-0.0494003	-0.377054	0.279449	0.149177	0.5	10.5	3	1.09557
4	1	1	10	7	549.805	-0.21342	0.279449	-1.03767	-0.104584	1.14828	0.577744	0.5	10.5	1	0.411089
4	1	1	10	7	416.992	0.767268	-0.450492	-0.689726	-0.792749	1.00178	-0.491253	0.5	10.5	1	1.28346
4	0	1	10	7	609.375	-0.0640729	-0.244231	-0.419738	0.767268	0.0310886	-0.577744	0.5	10.5	1	-0.613545
4	1	1	10	7	700.195	-0.134256	-0.0640729	0.156662	0.0274292	-0.562804	-1.28346	0.5	10.5	1	-0.393963
4	1	1	10	7	492.188	0.134256	0.582776	-0.562804	1.18223	-0.228772	-0.0714192	0.5	10.5	1	-0.860522
4	1	1	10	7	484.375	0.0274292	-0.0494003	0.209598	-0.927515	1.1707	0.437217	0.5	10.5	1	2.10514
4	0	1	10	7	633.789	1.02851	1.94312	0.167923	0.967752	-0.533585	0.0384101	0.5	10.5	1	0.335644
4	0	1	10	7	734.375	2.17283	0.343834	1.20597	0.194367	1.71983	0.634646	0.5	10.5	1	0.381262
4	1	1	10	7	483.398	-0.459426	1.25648	-0.0420723	0.311329	-0.500516	1.479	0.5	10.5	1	-0.0237705
4	1	1	10	7	549.805	3.15131	1.03767	0.267638	0.678424	1.03767	0.221083	0.5	10.5	1	-0.608346
4	1	1	10	7	450.195	0.437217	0.528797	0.183003	0.582776	1.75109	0.0347489	0.5	10.5	1	1.66233
4	1	1	10	7	425.781	1.23069	0.59292	1.40606	-0.419738	0.684056	0.402498	0.5	10.5	1	-0.134256
